OBJECTID,NH_NAME,ZIP_Codes,UNIQUE,ACRES,HOTSPOT_ACRES,AVE_TEMP_F,CANOPY_PERCENT,VEGETATION_PERCENT,IMP_BARESOIL_PERCENT,RPA_ACRES,OTHERIMP_ACRES,POTENTIAL_PERVIOUS_TREES,POTENTIAL_IMPERVIOUS_TREES,NET_PERVIOUS_TREES,NET_IMPERVIOUS_TREES
1,Algonquin,"40208, 40210",1,762.62,539.25,96.23,6.9,21.55,71.36,122.19,187.2,"8,053","12,337","4,026",617
2,Auburndale,40214,2,391.91,17.35,89.87,11.36,17.36,71.42,2.86,6.71,189,442,94,22
3,Audubon,40213,3,397.78,54.01,91.13,11.87,33.57,54.54,17.25,13.33,"1,136",878,568,44
4,Avondale Melbourne Heights,"40205, 40220",4,310.1,23.02,91.27,15.11,21.64,63.23,4.8,7.71,316,508,158,25
5,Bashford Manor,40218,5,355.24,129.52,93.75,13.99,23.06,62.7,28.35,42.36,"1,868","2,792",934,140
6,Beechmont,40214,6,924.69,113.41,92.08,13.46,27.84,58.71,29.54,26.31,"1,946","1,734",973,87
7,Belknap,40205,7,505.71,58.12,90.77,12.2,20.58,67.02,10.61,20.49,699,"1,351",350,68
8,Bon Air,40220,8,788.79,101.43,91.76,11.64,20.67,67.63,19.21,39.41,"1,266","2,597",633,130
9,Bonnycastle,40205,9,208.72,19.04,89.73,18.66,17.69,63.76,3.14,3.86,207,254,104,13
10,Bowman,40205,10,811.04,108.07,90.96,4.05,24.3,71.72,11.03,60.25,727,"3,970",364,198
11,Brownsboro Zorn,40207,11,504.53,5.18,87.93,7.4,22.74,69.78,1.16,2.59,77,171,38,9
12,Butchertown,"40204, 40206",12,587.71,141.2,91.17,9.16,15.89,75.05,21.47,47.49,"1,415","3,130",708,156
13,California,"40210, 40203",13,786.98,356.5,94.36,5.63,18.54,75.81,64.76,120.98,"4,268","7,972","2,134",399
14,Camp Taylor,40213,14,266.77,34.03,90.91,12.55,18.12,69.21,5.88,10.51,388,692,194,35
15,Central Business District,"40202, 40203",15,758.26,586.59,96.65,7.12,8.85,84.06,48.51,187.56,"3,197","12,360","1,598",618
16,Cherokee Gardens,40206,16,250.82,0,87.61,0,0,0,0,0,0,0,0,0
17,Cherokee Seneca,"40204, 40205",17,842.76,0.21,84.77,19.86,23.07,59.69,0,0.01,0,1,0,0
18,Cherokee Triangle,40204,18,626.45,56.07,87.99,15.86,21.08,62.85,11.42,12.66,753,835,376,42
19,Chickasaw,40211,19,778.9,7.28,89.66,10.08,24.63,66.15,1.71,2.2,112,145,56,7
20,Clifton,40206,20,436.41,74.04,91.05,14.85,22.51,62.53,15.56,16.61,"1,026","1,095",513,55
21,Clifton Heights,40206,21,409.98,29.05,89.66,19.48,14.83,65.68,3.85,8.58,254,565,127,28
22,Cloverleaf,40216,22,464.03,29.67,91.52,10.19,37.02,52.84,10.68,6.47,704,426,352,21
23,Crescent Hill,"40206, 40207",23,"1,216.73",61.31,89.79,13.31,27.31,59.51,15.95,13.62,"1,051",898,526,45
24,Deer Park,40205,24,314.36,102.4,93.5,19.12,27.59,53.21,26.9,12.72,"1,773",838,886,42
25,Edgewood,40213,25,476.31,91.61,90.89,6.37,25.56,67.93,22.64,45.66,"1,492","3,009",746,150
26,Fairgrounds,40209,26,692.61,495.71,96.91,4.39,16.69,78.97,86.05,232.93,"5,671","15,350","2,836",768
27,Gardiner Lane,40205,27,190.03,39.38,91.48,6.82,18.03,75.21,6.9,16.99,455,"1,120",228,56
28,Germantown,"40204, 40205",28,383.76,217.02,93.96,18.84,28.19,52.78,58.53,31.59,"3,857","2,082","1,928",104
